,Fp1,Fz,F3,F7,FT9,FC5,FC1,C3,T7,TP9,CP5,CP1,Pz,P3,P7,O1,Oz,O2,TP10,CP6,CP2,Cz,C4,T8,FT10,FC6,FC2,F4,F8,Fp2,AF7,AF3,AFz,F1,F5,FT7,FC3,C1,C5,TP7,CP3,P1,P5,PO7,PO3,POz,PO4,PO8,P2,CPz,CP4,TP8,C6,C2,FC4,FT8,F6,AF8,AF4,F2,FCz
FC6,0.017384731670445956,0.017384731670445956,0.016628873771730914,0.016628873771730914,0.016628873771730914,0.017384731670445956,0.015873015873015872,0.015873015873015872,0.017384731670445956,0.015873015873015872,0.016628873771730914,0.016628873771730914,0.016628873771730914,0.016628873771730914,0.016628873771730914,0.016628873771730914,0.016628873771730914,0.0,0.015873015873015872,0.016628873771730914,0.016628873771730914,0.016628873771730914,0.016628873771730914,0.016628873771730914,0.015117157974300832,0.016628873771730914,0.016628873771730914,0.016628873771730914,0.016628873771730914,0.017384731670445956,0.017384731670445956,0.016628873771730914,0.015873015873015872,0.016628873771730914,0.016628873771730914,0.016628873771730914,0.016628873771730914,0.017384731670445956,0.016628873771730914,0.016628873771730914,0.017384731670445956,0.016628873771730914,0.016628873771730914,0.016628873771730914,0.016628873771730914,0.016628873771730914,0.016628873771730914,0.016628873771730914,0.016628873771730914,0.017384731670445956,0.016628873771730914,0.015873015873015872,0.016628873771730914,0.017384731670445956,0.016628873771730914,0.016628873771730914,0.016628873771730914,0.016628873771730914,0.017384731670445956,0.016628873771730914,0.016628873771730914
FC2,0.017384731670445956,0.017384731670445956,0.016628873771730914,0.016628873771730914,0.016628873771730914,0.017384731670445956,0.015873015873015872,0.015873015873015872,0.017384731670445956,0.015873015873015872,0.016628873771730914,0.016628873771730914,0.016628873771730914,0.016628873771730914,0.016628873771730914,0.016628873771730914,0.016628873771730914,0.0,0.015873015873015872,0.016628873771730914,0.016628873771730914,0.016628873771730914,0.016628873771730914,0.016628873771730914,0.015117157974300832,0.016628873771730914,0.016628873771730914,0.016628873771730914,0.016628873771730914,0.017384731670445956,0.017384731670445956,0.016628873771730914,0.015873015873015872,0.016628873771730914,0.016628873771730914,0.016628873771730914,0.016628873771730914,0.017384731670445956,0.016628873771730914,0.016628873771730914,0.017384731670445956,0.016628873771730914,0.016628873771730914,0.016628873771730914,0.016628873771730914,0.016628873771730914,0.016628873771730914,0.016628873771730914,0.016628873771730914,0.017384731670445956,0.016628873771730914,0.015873015873015872,0.016628873771730914,0.017384731670445956,0.016628873771730914,0.016628873771730914,0.016628873771730914,0.016628873771730914,0.017384731670445956,0.016628873771730914,0.016628873771730914
F4,0.017384731670445956,0.017384731670445956,0.016628873771730914,0.016628873771730914,0.016628873771730914,0.017384731670445956,0.015873015873015872,0.015873015873015872,0.017384731670445956,0.015873015873015872,0.016628873771730914,0.016628873771730914,0.016628873771730914,0.016628873771730914,0.016628873771730914,0.016628873771730914,0.016628873771730914,0.0,0.015873015873015872,0.016628873771730914,0.016628873771730914,0.016628873771730914,0.016628873771730914,0.016628873771730914,0.015117157974300832,0.016628873771730914,0.016628873771730914,0.016628873771730914,0.016628873771730914,0.017384731670445956,0.017384731670445956,0.016628873771730914,0.015873015873015872,0.016628873771730914,0.016628873771730914,0.016628873771730914,0.016628873771730914,0.017384731670445956,0.016628873771730914,0.016628873771730914,0.017384731670445956,0.016628873771730914,0.016628873771730914,0.016628873771730914,0.016628873771730914,0.016628873771730914,0.016628873771730914,0.016628873771730914,0.016628873771730914,0.017384731670445956,0.016628873771730914,0.015873015873015872,0.016628873771730914,0.017384731670445956,0.016628873771730914,0.016628873771730914,0.016628873771730914,0.016628873771730914,0.017384731670445956,0.016628873771730914,0.016628873771730914
F8,0.01741884402216944,0.01741884402216944,0.0166270783847981,0.0166270783847981,0.0166270783847981,0.01741884402216944,0.01583531274742676,0.01583531274742676,0.01741884402216944,0.01583531274742676,0.0166270783847981,0.0166270783847981,0.0166270783847981,0.0166270783847981,0.0166270783847981,0.0166270783847981,0.0166270783847981,0.0,0.01583531274742676,0.0166270783847981,0.0166270783847981,0.0166270783847981,0.0166270783847981,0.0166270783847981,0.015043547110055424,0.0166270783847981,0.0166270783847981,0.0166270783847981,0.0166270783847981,0.01741884402216944,0.01741884402216944,0.0166270783847981,0.01583531274742676,0.0166270783847981,0.0166270783847981,0.0166270783847981,0.0166270783847981,0.01741884402216944,0.0166270783847981,0.0166270783847981,0.01741884402216944,0.0166270783847981,0.0166270783847981,0.0166270783847981,0.0166270783847981,0.0166270783847981,0.0166270783847981,0.0166270783847981,0.0166270783847981,0.01741884402216944,0.0166270783847981,0.01583531274742676,0.0166270783847981,0.01741884402216944,0.0166270783847981,0.0166270783847981,0.0166270783847981,0.0166270783847981,0.01741884402216944,0.0166270783847981,0.0166270783847981
Fp2,0.017371601208459216,0.017371601208459216,0.01661631419939577,0.01661631419939577,0.01661631419939577,0.017371601208459216,0.015861027190332326,0.015861027190332326,0.017371601208459216,0.015861027190332326,0.01661631419939577,0.01661631419939577,0.01661631419939577,0.01661631419939577,0.01661631419939577,0.01661631419939577,0.01661631419939577,0.0,0.015861027190332326,0.01661631419939577,0.01661631419939577,0.01661631419939577,0.01661631419939577,0.01661631419939577,0.015105740181268883,0.01661631419939577,0.01661631419939577,0.01661631419939577,0.01661631419939577,0.017371601208459216,0.01812688821752266,0.01661631419939577,0.015861027190332326,0.01661631419939577,0.01661631419939577,0.01661631419939577,0.01661631419939577,0.017371601208459216,0.01661631419939577,0.01661631419939577,0.017371601208459216,0.01661631419939577,0.01661631419939577,0.01661631419939577,0.01661631419939577,0.01661631419939577,0.01661631419939577,0.01661631419939577,0.01661631419939577,0.017371601208459216,0.01661631419939577,0.015861027190332326,0.01661631419939577,0.017371601208459216,0.01661631419939577,0.01661631419939577,0.01661631419939577,0.01661631419939577,0.017371601208459216,0.01661631419939577,0.01661631419939577
AF7,0.01741654571843251,0.01741654571843251,0.016690856313497822,0.016690856313497822,0.016690856313497822,0.01741654571843251,0.015965166908563134,0.015239477503628448,0.01741654571843251,0.015965166908563134,0.016690856313497822,0.016690856313497822,0.016690856313497822,0.016690856313497822,0.016690856313497822,0.016690856313497822,0.016690856313497822,0.0,0.015239477503628448,0.016690856313497822,0.016690856313497822,0.016690856313497822,0.016690856313497822,0.016690856313497822,0.015239477503628448,0.016690856313497822,0.016690856313497822,0.016690856313497822,0.015965166908563134,0.01741654571843251,0.018142235123367198,0.016690856313497822,0.015239477503628448,0.016690856313497822,0.015965166908563134,0.016690856313497822,0.016690856313497822,0.01741654571843251,0.016690856313497822,0.016690856313497822,0.01741654571843251,0.016690856313497822,0.016690856313497822,0.016690856313497822,0.016690856313497822,0.015965166908563134,0.016690856313497822,0.016690856313497822,0.016690856313497822,0.01741654571843251,0.016690856313497822,0.015965166908563134,0.016690856313497822,0.01741654571843251,0.016690856313497822,0.016690856313497822,0.016690856313497822,0.016690856313497822,0.01741654571843251,0.016690856313497822,0.016690856313497822
AF3,0.017384731670445956,0.017384731670445956,0.016628873771730914,0.016628873771730914,0.016628873771730914,0.017384731670445956,0.015873015873015872,0.015873015873015872,0.017384731670445956,0.015873015873015872,0.016628873771730914,0.016628873771730914,0.016628873771730914,0.016628873771730914,0.016628873771730914,0.016628873771730914,0.016628873771730914,0.0,0.015873015873015872,0.016628873771730914,0.016628873771730914,0.016628873771730914,0.016628873771730914,0.016628873771730914,0.015117157974300832,0.016628873771730914,0.016628873771730914,0.016628873771730914,0.016628873771730914,0.017384731670445956,0.017384731670445956,0.016628873771730914,0.015873015873015872,0.016628873771730914,0.016628873771730914,0.016628873771730914,0.016628873771730914,0.017384731670445956,0.016628873771730914,0.016628873771730914,0.017384731670445956,0.016628873771730914,0.016628873771730914,0.016628873771730914,0.016628873771730914,0.016628873771730914,0.016628873771730914,0.016628873771730914,0.016628873771730914,0.017384731670445956,0.016628873771730914,0.015873015873015872,0.016628873771730914,0.017384731670445956,0.016628873771730914,0.016628873771730914,0.016628873771730914,0.016628873771730914,0.017384731670445956,0.016628873771730914,0.016628873771730914
AFz,0.016773162939297124,0.016773162939297124,0.016773162939297124,0.016773162939297124,0.016773162939297124,0.016773162939297124,0.01597444089456869,0.01597444089456869,0.016773162939297124,0.01597444089456869,0.016773162939297124,0.016773162939297124,0.016773162939297124,0.016773162939297124,0.016773162939297124,0.016773162939297124,0.016773162939297124,0.0,0.01597444089456869,0.016773162939297124,0.016773162939297124,0.016773162939297124,0.016773162939297124,0.016773162939297124,0.015175718849840255,0.016773162939297124,0.016773162939297124,0.016773162939297124,0.016773162939297124,0.016773162939297124,0.016773162939297124,0.016773162939297124,0.01597444089456869,0.016773162939297124,0.016773162939297124,0.016773162939297124,0.016773162939297124,0.016773162939297124,0.016773162939297124,0.016773162939297124,0.016773162939297124,0.016773162939297124,0.016773162939297124,0.016773162939297124,0.016773162939297124,0.016773162939297124,0.016773162939297124,0.016773162939297124,0.016773162939297124,0.016773162939297124,0.016773162939297124,0.01597444089456869,0.016773162939297124,0.016773162939297124,0.016773162939297124,0.016773162939297124,0.016773162939297124,0.016773162939297124,0.016773162939297124,0.016773162939297124,0.016773162939297124
F1,0.017384731670445956,0.017384731670445956,0.016628873771730914,0.016628873771730914,0.016628873771730914,0.017384731670445956,0.015873015873015872,0.015873015873015872,0.017384731670445956,0.015873015873015872,0.016628873771730914,0.016628873771730914,0.016628873771730914,0.016628873771730914,0.016628873771730914,0.016628873771730914,0.016628873771730914,0.0,0.015873015873015872,0.016628873771730914,0.016628873771730914,0.016628873771730914,0.016628873771730914,0.016628873771730914,0.015117157974300832,0.016628873771730914,0.016628873771730914,0.016628873771730914,0.016628873771730914,0.017384731670445956,0.017384731670445956,0.016628873771730914,0.015873015873015872,0.016628873771730914,0.016628873771730914,0.016628873771730914,0.016628873771730914,0.017384731670445956,0.016628873771730914,0.016628873771730914,0.017384731670445956,0.016628873771730914,0.016628873771730914,0.016628873771730914,0.016628873771730914,0.016628873771730914,0.016628873771730914,0.016628873771730914,0.016628873771730914,0.017384731670445956,0.016628873771730914,0.015873015873015872,0.016628873771730914,0.017384731670445956,0.016628873771730914,0.016628873771730914,0.016628873771730914,0.016628873771730914,0.017384731670445956,0.016628873771730914,0.016628873771730914
F5,0.01741884402216944,0.01741884402216944,0.0166270783847981,0.0166270783847981,0.0166270783847981,0.01741884402216944,0.01583531274742676,0.01583531274742676,0.01741884402216944,0.01583531274742676,0.0166270783847981,0.0166270783847981,0.0166270783847981,0.0166270783847981,0.0166270783847981,0.0166270783847981,0.0166270783847981,0.0,0.01583531274742676,0.0166270783847981,0.0166270783847981,0.0166270783847981,0.0166270783847981,0.0166270783847981,0.015043547110055424,0.0166270783847981,0.0166270783847981,0.0166270783847981,0.0166270783847981,0.01741884402216944,0.01741884402216944,0.0166270783847981,0.01583531274742676,0.0166270783847981,0.0166270783847981,0.0166270783847981,0.0166270783847981,0.01741884402216944,0.0166270783847981,0.0166270783847981,0.01741884402216944,0.0166270783847981,0.0166270783847981,0.0166270783847981,0.0166270783847981,0.0166270783847981,0.0166270783847981,0.0166270783847981,0.0166270783847981,0.01741884402216944,0.0166270783847981,0.01583531274742676,0.0166270783847981,0.01741884402216944,0.0166270783847981,0.0166270783847981,0.0166270783847981,0.0166270783847981,0.01741884402216944,0.0166270783847981,0.0166270783847981
FT7,0.017429193899782137,0.017429193899782137,0.01670297748729121,0.01670297748729121,0.01670297748729121,0.017429193899782137,0.01597676107480029,0.015250544662309368,0.017429193899782137,0.01597676107480029,0.01670297748729121,0.01670297748729121,0.01670297748729121,0.01670297748729121,0.01670297748729121,0.01670297748729121,0.01670297748729121,0.0,0.015250544662309368,0.01670297748729121,0.01670297748729121,0.01670297748729121,0.01670297748729121,0.01670297748729121,0.015250544662309368,0.01670297748729121,0.01670297748729121,0.01670297748729121,0.01597676107480029,0.017429193899782137,0.017429193899782137,0.01670297748729121,0.015250544662309368,0.01670297748729121,0.01597676107480029,0.01670297748729121,0.01670297748729121,0.017429193899782137,0.01670297748729121,0.01670297748729121,0.017429193899782137,0.01670297748729121,0.01670297748729121,0.01670297748729121,0.01670297748729121,0.01597676107480029,0.01670297748729121,0.01670297748729121,0.01670297748729121,0.017429193899782137,0.01670297748729121,0.01597676107480029,0.01670297748729121,0.017429193899782137,0.01670297748729121,0.01670297748729121,0.01670297748729121,0.01670297748729121,0.017429193899782137,0.01670297748729121,0.01670297748729121
FC3,0.017384731670445956,0.017384731670445956,0.016628873771730914,0.016628873771730914,0.016628873771730914,0.017384731670445956,0.015873015873015872,0.015873015873015872,0.017384731670445956,0.015873015873015872,0.016628873771730914,0.016628873771730914,0.016628873771730914,0.016628873771730914,0.016628873771730914,0.016628873771730914,0.016628873771730914,0.0,0.015873015873015872,0.016628873771730914,0.016628873771730914,0.016628873771730914,0.016628873771730914,0.016628873771730914,0.015117157974300832,0.016628873771730914,0.016628873771730914,0.016628873771730914,0.016628873771730914,0.017384731670445956,0.017384731670445956,0.016628873771730914,0.015873015873015872,0.016628873771730914,0.016628873771730914,0.016628873771730914,0.016628873771730914,0.017384731670445956,0.016628873771730914,0.016628873771730914,0.017384731670445956,0.016628873771730914,0.016628873771730914,0.016628873771730914,0.016628873771730914,0.016628873771730914,0.016628873771730914,0.016628873771730914,0.016628873771730914,0.017384731670445956,0.016628873771730914,0.015873015873015872,0.016628873771730914,0.017384731670445956,0.016628873771730914,0.016628873771730914,0.016628873771730914,0.016628873771730914,0.017384731670445956,0.016628873771730914,0.016628873771730914
C1,0.017371601208459216,0.017371601208459216,0.01661631419939577,0.01661631419939577,0.01661631419939577,0.017371601208459216,0.015861027190332326,0.015861027190332326,0.017371601208459216,0.015861027190332326,0.01661631419939577,0.01661631419939577,0.01661631419939577,0.01661631419939577,0.01661631419939577,0.01661631419939577,0.01661631419939577,0.0,0.015861027190332326,0.01661631419939577,0.01661631419939577,0.01661631419939577,0.01661631419939577,0.01661631419939577,0.015105740181268883,0.01661631419939577,0.01661631419939577,0.01661631419939577,0.01661631419939577,0.017371601208459216,0.01812688821752266,0.01661631419939577,0.015861027190332326,0.01661631419939577,0.01661631419939577,0.01661631419939577,0.01661631419939577,0.017371601208459216,0.01661631419939577,0.01661631419939577,0.017371601208459216,0.01661631419939577,0.01661631419939577,0.01661631419939577,0.01661631419939577,0.01661631419939577,0.01661631419939577,0.01661631419939577,0.01661631419939577,0.017371601208459216,0.01661631419939577,0.015861027190332326,0.01661631419939577,0.017371601208459216,0.01661631419939577,0.01661631419939577,0.01661631419939577,0.01661631419939577,0.017371601208459216,0.01661631419939577,0.01661631419939577
C5,0.017384731670445956,0.017384731670445956,0.016628873771730914,0.016628873771730914,0.016628873771730914,0.017384731670445956,0.015873015873015872,0.015873015873015872,0.017384731670445956,0.015873015873015872,0.016628873771730914,0.016628873771730914,0.016628873771730914,0.016628873771730914,0.016628873771730914,0.016628873771730914,0.016628873771730914,0.0,0.015873015873015872,0.016628873771730914,0.016628873771730914,0.016628873771730914,0.016628873771730914,0.016628873771730914,0.015117157974300832,0.016628873771730914,0.016628873771730914,0.016628873771730914,0.016628873771730914,0.017384731670445956,0.017384731670445956,0.016628873771730914,0.015873015873015872,0.016628873771730914,0.016628873771730914,0.016628873771730914,0.016628873771730914,0.017384731670445956,0.016628873771730914,0.016628873771730914,0.017384731670445956,0.016628873771730914,0.016628873771730914,0.016628873771730914,0.016628873771730914,0.016628873771730914,0.016628873771730914,0.016628873771730914,0.016628873771730914,0.017384731670445956,0.016628873771730914,0.015873015873015872,0.016628873771730914,0.017384731670445956,0.016628873771730914,0.016628873771730914,0.016628873771730914,0.016628873771730914,0.017384731670445956,0.016628873771730914,0.016628873771730914
TP7,0.017429193899782137,0.017429193899782137,0.01670297748729121,0.01670297748729121,0.01670297748729121,0.017429193899782137,0.01597676107480029,0.015250544662309368,0.017429193899782137,0.01597676107480029,0.01670297748729121,0.01670297748729121,0.01670297748729121,0.01670297748729121,0.01670297748729121,0.01670297748729121,0.01670297748729121,0.0,0.015250544662309368,0.01670297748729121,0.01670297748729121,0.01670297748729121,0.01670297748729121,0.01670297748729121,0.015250544662309368,0.01670297748729121,0.01670297748729121,0.01670297748729121,0.01597676107480029,0.017429193899782137,0.017429193899782137,0.01670297748729121,0.015250544662309368,0.01670297748729121,0.01597676107480029,0.01670297748729121,0.01670297748729121,0.017429193899782137,0.01670297748729121,0.01670297748729121,0.017429193899782137,0.01670297748729121,0.01670297748729121,0.01670297748729121,0.01670297748729121,0.01597676107480029,0.01670297748729121,0.01670297748729121,0.01670297748729121,0.017429193899782137,0.01670297748729121,0.01597676107480029,0.01670297748729121,0.017429193899782137,0.01670297748729121,0.01670297748729121,0.01670297748729121,0.01670297748729121,0.017429193899782137,0.01670297748729121,0.01670297748729121
CP3,0.01741654571843251,0.01741654571843251,0.016690856313497822,0.016690856313497822,0.016690856313497822,0.01741654571843251,0.015965166908563134,0.015239477503628448,0.01741654571843251,0.015965166908563134,0.016690856313497822,0.016690856313497822,0.016690856313497822,0.016690856313497822,0.016690856313497822,0.016690856313497822,0.016690856313497822,0.0,0.015239477503628448,0.016690856313497822,0.016690856313497822,0.016690856313497822,0.016690856313497822,0.016690856313497822,0.015239477503628448,0.016690856313497822,0.016690856313497822,0.016690856313497822,0.015965166908563134,0.01741654571843251,0.018142235123367198,0.016690856313497822,0.015239477503628448,0.016690856313497822,0.015965166908563134,0.016690856313497822,0.016690856313497822,0.01741654571843251,0.016690856313497822,0.016690856313497822,0.01741654571843251,0.016690856313497822,0.016690856313497822,0.016690856313497822,0.016690856313497822,0.015965166908563134,0.016690856313497822,0.016690856313497822,0.016690856313497822,0.01741654571843251,0.016690856313497822,0.015965166908563134,0.016690856313497822,0.01741654571843251,0.016690856313497822,0.016690856313497822,0.016690856313497822,0.016690856313497822,0.01741654571843251,0.016690856313497822,0.016690856313497822
P1,0.017384731670445956,0.017384731670445956,0.016628873771730914,0.016628873771730914,0.016628873771730914,0.017384731670445956,0.015873015873015872,0.015873015873015872,0.017384731670445956,0.015873015873015872,0.016628873771730914,0.016628873771730914,0.016628873771730914,0.016628873771730914,0.016628873771730914,0.016628873771730914,0.016628873771730914,0.0,0.015873015873015872,0.016628873771730914,0.016628873771730914,0.016628873771730914,0.016628873771730914,0.016628873771730914,0.015117157974300832,0.016628873771730914,0.016628873771730914,0.016628873771730914,0.016628873771730914,0.017384731670445956,0.017384731670445956,0.016628873771730914,0.015873015873015872,0.016628873771730914,0.016628873771730914,0.016628873771730914,0.016628873771730914,0.017384731670445956,0.016628873771730914,0.016628873771730914,0.017384731670445956,0.016628873771730914,0.016628873771730914,0.016628873771730914,0.016628873771730914,0.016628873771730914,0.016628873771730914,0.016628873771730914,0.016628873771730914,0.017384731670445956,0.016628873771730914,0.015873015873015872,0.016628873771730914,0.017384731670445956,0.016628873771730914,0.016628873771730914,0.016628873771730914,0.016628873771730914,0.017384731670445956,0.016628873771730914,0.016628873771730914
P5,0.017384731670445956,0.017384731670445956,0.016628873771730914,0.016628873771730914,0.016628873771730914,0.017384731670445956,0.015873015873015872,0.015873015873015872,0.017384731670445956,0.015873015873015872,0.016628873771730914,0.016628873771730914,0.016628873771730914,0.016628873771730914,0.016628873771730914,0.016628873771730914,0.016628873771730914,0.0,0.015873015873015872,0.016628873771730914,0.016628873771730914,0.016628873771730914,0.016628873771730914,0.016628873771730914,0.015117157974300832,0.016628873771730914,0.016628873771730914,0.016628873771730914,0.016628873771730914,0.017384731670445956,0.017384731670445956,0.016628873771730914,0.015873015873015872,0.016628873771730914,0.016628873771730914,0.016628873771730914,0.016628873771730914,0.017384731670445956,0.016628873771730914,0.016628873771730914,0.017384731670445956,0.016628873771730914,0.016628873771730914,0.016628873771730914,0.016628873771730914,0.016628873771730914,0.016628873771730914,0.016628873771730914,0.016628873771730914,0.017384731670445956,0.016628873771730914,0.015873015873015872,0.016628873771730914,0.017384731670445956,0.016628873771730914,0.016628873771730914,0.016628873771730914,0.016628873771730914,0.017384731670445956,0.016628873771730914,0.016628873771730914
PO7,0.017384731670445956,0.017384731670445956,0.016628873771730914,0.016628873771730914,0.016628873771730914,0.017384731670445956,0.015873015873015872,0.015873015873015872,0.017384731670445956,0.015873015873015872,0.016628873771730914,0.016628873771730914,0.016628873771730914,0.016628873771730914,0.016628873771730914,0.016628873771730914,0.016628873771730914,0.0,0.015873015873015872,0.016628873771730914,0.016628873771730914,0.016628873771730914,0.016628873771730914,0.016628873771730914,0.015117157974300832,0.016628873771730914,0.016628873771730914,0.016628873771730914,0.016628873771730914,0.017384731670445956,0.017384731670445956,0.016628873771730914,0.015873015873015872,0.016628873771730914,0.016628873771730914,0.016628873771730914,0.016628873771730914,0.017384731670445956,0.016628873771730914,0.016628873771730914,0.017384731670445956,0.016628873771730914,0.016628873771730914,0.016628873771730914,0.016628873771730914,0.016628873771730914,0.016628873771730914,0.016628873771730914,0.016628873771730914,0.017384731670445956,0.016628873771730914,0.015873015873015872,0.016628873771730914,0.017384731670445956,0.016628873771730914,0.016628873771730914,0.016628873771730914,0.016628873771730914,0.017384731670445956,0.016628873771730914,0.016628873771730914
PO3,0.017384731670445956,0.017384731670445956,0.016628873771730914,0.016628873771730914,0.016628873771730914,0.017384731670445956,0.015873015873015872,0.015873015873015872,0.017384731670445956,0.015873015873015872,0.016628873771730914,0.016628873771730914,0.016628873771730914,0.016628873771730914,0.016628873771730914,0.016628873771730914,0.016628873771730914,0.0,0.015873015873015872,0.016628873771730914,0.016628873771730914,0.016628873771730914,0.016628873771730914,0.016628873771730914,0.015117157974300832,0.016628873771730914,0.016628873771730914,0.016628873771730914,0.016628873771730914,0.017384731670445956,0.017384731670445956,0.016628873771730914,0.015873015873015872,0.016628873771730914,0.016628873771730914,0.016628873771730914,0.016628873771730914,0.017384731670445956,0.016628873771730914,0.016628873771730914,0.017384731670445956,0.016628873771730914,0.016628873771730914,0.016628873771730914,0.016628873771730914,0.016628873771730914,0.016628873771730914,0.016628873771730914,0.016628873771730914,0.017384731670445956,0.016628873771730914,0.015873015873015872,0.016628873771730914,0.017384731670445956,0.016628873771730914,0.016628873771730914,0.016628873771730914,0.016628873771730914,0.017384731670445956,0.016628873771730914,0.016628873771730914
POz,0.01741884402216944,0.01741884402216944,0.0166270783847981,0.0166270783847981,0.0166270783847981,0.01741884402216944,0.01583531274742676,0.01583531274742676,0.01741884402216944,0.01583531274742676,0.0166270783847981,0.0166270783847981,0.0166270783847981,0.0166270783847981,0.0166270783847981,0.0166270783847981,0.0166270783847981,0.0,0.01583531274742676,0.0166270783847981,0.0166270783847981,0.0166270783847981,0.0166270783847981,0.0166270783847981,0.015043547110055424,0.0166270783847981,0.0166270783847981,0.0166270783847981,0.0166270783847981,0.01741884402216944,0.01741884402216944,0.0166270783847981,0.01583531274742676,0.0166270783847981,0.0166270783847981,0.0166270783847981,0.0166270783847981,0.01741884402216944,0.0166270783847981,0.0166270783847981,0.01741884402216944,0.0166270783847981,0.0166270783847981,0.0166270783847981,0.0166270783847981,0.0166270783847981,0.0166270783847981,0.0166270783847981,0.0166270783847981,0.01741884402216944,0.0166270783847981,0.01583531274742676,0.0166270783847981,0.01741884402216944,0.0166270783847981,0.0166270783847981,0.0166270783847981,0.0166270783847981,0.01741884402216944,0.0166270783847981,0.0166270783847981
PO4,0.017384731670445956,0.017384731670445956,0.016628873771730914,0.016628873771730914,0.016628873771730914,0.017384731670445956,0.015873015873015872,0.015873015873015872,0.017384731670445956,0.015873015873015872,0.016628873771730914,0.016628873771730914,0.016628873771730914,0.016628873771730914,0.016628873771730914,0.016628873771730914,0.016628873771730914,0.0,0.015873015873015872,0.016628873771730914,0.016628873771730914,0.016628873771730914,0.016628873771730914,0.016628873771730914,0.015117157974300832,0.016628873771730914,0.016628873771730914,0.016628873771730914,0.016628873771730914,0.017384731670445956,0.017384731670445956,0.016628873771730914,0.015873015873015872,0.016628873771730914,0.016628873771730914,0.016628873771730914,0.016628873771730914,0.017384731670445956,0.016628873771730914,0.016628873771730914,0.017384731670445956,0.016628873771730914,0.016628873771730914,0.016628873771730914,0.016628873771730914,0.016628873771730914,0.016628873771730914,0.016628873771730914,0.016628873771730914,0.017384731670445956,0.016628873771730914,0.015873015873015872,0.016628873771730914,0.017384731670445956,0.016628873771730914,0.016628873771730914,0.016628873771730914,0.016628873771730914,0.017384731670445956,0.016628873771730914,0.016628873771730914
PO8,0.017384731670445956,0.017384731670445956,0.016628873771730914,0.016628873771730914,0.016628873771730914,0.017384731670445956,0.015873015873015872,0.015873015873015872,0.017384731670445956,0.015873015873015872,0.016628873771730914,0.016628873771730914,0.016628873771730914,0.016628873771730914,0.016628873771730914,0.016628873771730914,0.016628873771730914,0.0,0.015873015873015872,0.016628873771730914,0.016628873771730914,0.016628873771730914,0.016628873771730914,0.016628873771730914,0.015117157974300832,0.016628873771730914,0.016628873771730914,0.016628873771730914,0.016628873771730914,0.017384731670445956,0.017384731670445956,0.016628873771730914,0.015873015873015872,0.016628873771730914,0.016628873771730914,0.016628873771730914,0.016628873771730914,0.017384731670445956,0.016628873771730914,0.016628873771730914,0.017384731670445956,0.016628873771730914,0.016628873771730914,0.016628873771730914,0.016628873771730914,0.016628873771730914,0.016628873771730914,0.016628873771730914,0.016628873771730914,0.017384731670445956,0.016628873771730914,0.015873015873015872,0.016628873771730914,0.017384731670445956,0.016628873771730914,0.016628873771730914,0.016628873771730914,0.016628873771730914,0.017384731670445956,0.016628873771730914,0.016628873771730914
P2,0.017429193899782137,0.017429193899782137,0.01670297748729121,0.01670297748729121,0.01670297748729121,0.017429193899782137,0.01597676107480029,0.015250544662309368,0.017429193899782137,0.01597676107480029,0.01670297748729121,0.01670297748729121,0.01670297748729121,0.01670297748729121,0.01670297748729121,0.01670297748729121,0.01670297748729121,0.0,0.015250544662309368,0.01670297748729121,0.01670297748729121,0.01670297748729121,0.01670297748729121,0.01670297748729121,0.015250544662309368,0.01670297748729121,0.01670297748729121,0.01670297748729121,0.01597676107480029,0.017429193899782137,0.017429193899782137,0.01670297748729121,0.015250544662309368,0.01670297748729121,0.01597676107480029,0.01670297748729121,0.01670297748729121,0.017429193899782137,0.01670297748729121,0.01670297748729121,0.017429193899782137,0.01670297748729121,0.01670297748729121,0.01670297748729121,0.01670297748729121,0.01597676107480029,0.01670297748729121,0.01670297748729121,0.01670297748729121,0.017429193899782137,0.01670297748729121,0.01597676107480029,0.01670297748729121,0.017429193899782137,0.01670297748729121,0.01670297748729121,0.01670297748729121,0.01670297748729121,0.017429193899782137,0.01670297748729121,0.01670297748729121
CPz,0.017371601208459216,0.017371601208459216,0.01661631419939577,0.01661631419939577,0.01661631419939577,0.017371601208459216,0.015861027190332326,0.015861027190332326,0.017371601208459216,0.015861027190332326,0.01661631419939577,0.01661631419939577,0.01661631419939577,0.01661631419939577,0.01661631419939577,0.01661631419939577,0.01661631419939577,0.0,0.015861027190332326,0.01661631419939577,0.01661631419939577,0.01661631419939577,0.01661631419939577,0.01661631419939577,0.015105740181268883,0.01661631419939577,0.01661631419939577,0.01661631419939577,0.01661631419939577,0.017371601208459216,0.01812688821752266,0.01661631419939577,0.015861027190332326,0.01661631419939577,0.01661631419939577,0.01661631419939577,0.01661631419939577,0.017371601208459216,0.01661631419939577,0.01661631419939577,0.017371601208459216,0.01661631419939577,0.01661631419939577,0.01661631419939577,0.01661631419939577,0.01661631419939577,0.01661631419939577,0.01661631419939577,0.01661631419939577,0.017371601208459216,0.01661631419939577,0.015861027190332326,0.01661631419939577,0.017371601208459216,0.01661631419939577,0.01661631419939577,0.01661631419939577,0.01661631419939577,0.017371601208459216,0.01661631419939577,0.01661631419939577
